date,house-1-temperature-color,house-1-temperature-data,house-1-rehs-color,house-1-rehs-data,motality
1/1/2021,blue,,blue,,
1/2/2021,blue,,blue,,
1/3/2021,blue,,blue,,
1/4/2021,blue,,blue,,
1/5/2021,blue,,blue,,
1/6/2021,blue,,blue,,
1/7/2021,blue,,blue,,
1/8/2021,blue,,blue,,
1/9/2021,blue,,blue,,
1/10/2021,blue,,blue,,
1/11/2021,blue,,blue,,
1/12/2021,blue,,blue,,
1/13/2021,blue,,blue,,
1/14/2021,blue,,blue,,
1/15/2021,blue,,blue,,
1/16/2021,blue,,blue,,
1/17/2021,blue,,blue,,
1/18/2021,blue,,blue,,
1/19/2021,blue,,blue,,
1/20/2021,blue,,blue,,
1/21/2021,blue,,blue,,
1/22/2021,blue,,blue,,
1/23/2021,blue,,blue,,
1/24/2021,blue,,blue,,
1/25/2021,blue,,blue,,
1/26/2021,blue,,blue,,
1/27/2021,blue,,blue,,
1/28/2021,blue,,blue,,
1/29/2021,blue,,blue,,
1/30/2021,blue,,blue,,
1/31/2021,blue,,blue,,
2/1/2021,blue,,blue,,
2/2/2021,blue,,blue,,
2/3/2021,blue,,blue,,
2/4/2021,blue,,blue,,
2/5/2021,blue,,blue,,
2/6/2021,blue,,blue,,
2/7/2021,blue,,blue,,
2/8/2021,blue,,blue,,
2/9/2021,blue,,blue,,
2/10/2021,blue,,blue,,
2/11/2021,blue,,blue,,
2/12/2021,blue,,blue,,
2/13/2021,blue,,blue,,
2/14/2021,blue,,blue,,
2/15/2021,blue,,blue,,
2/16/2021,blue,,blue,,
2/17/2021,blue,,blue,,
2/18/2021,blue,,blue,,
2/19/2021,blue,,blue,,
2/20/2021,blue,,blue,,
2/21/2021,blue,,blue,,
2/22/2021,blue,,blue,,
2/23/2021,blue,,blue,,
2/24/2021,blue,,blue,,
2/25/2021,blue,,blue,,
2/26/2021,blue,,blue,,
2/27/2021,blue,,blue,,
2/28/2021,blue,,blue,,
3/1/2021,blue,,blue,,
3/2/2021,blue,,blue,,
3/3/2021,blue,,blue,,
3/4/2021,blue,,blue,,
3/5/2021,blue,,blue,,
3/6/2021,blue,,blue,,
3/7/2021,blue,,blue,,
3/8/2021,blue,,blue,,
3/9/2021,blue,,blue,,
3/10/2021,blue,,blue,,
3/11/2021,blue,,blue,,
3/12/2021,blue,,blue,,
3/13/2021,blue,,blue,,
3/14/2021,blue,,blue,,
3/15/2021,blue,,blue,,
3/16/2021,blue,,blue,,
3/17/2021,blue,,blue,,
3/18/2021,blue,,blue,,
3/19/2021,blue,,blue,,
3/20/2021,blue,,blue,,
