,date,monitor-1-temp-color,monitor-1-temp-data,monitor-1-rehs-color,monitor-1-rehs-data,monitor-2-temp-color,monitor-2-temp-data,monitor-2-rehs-color,monitor-2-rehs-data,monitor-3-temp-color,monitor-3-temp-data,monitor-3-rehs-color,monitor-3-rehs-data,monitor-4-temp-color,monitor-4-temp-data,monitor-4-rehs-color,monitor-4-rehs-data,monitor-5-temp-color,monitor-5-temp-data,monitor-5-rehs-color,monitor-5-rehs-data
0,1/1/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
1,1/2/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
2,1/3/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
3,1/4/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
4,1/5/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
5,1/6/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
6,1/7/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
7,1/8/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
8,1/9/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
9,1/10/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
10,1/11/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
11,1/12/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
12,1/13/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
13,1/14/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
14,1/15/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
15,1/16/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
16,1/17/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
17,1/18/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
18,1/19/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
19,1/20/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
20,1/21/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
21,1/22/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
22,1/23/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
23,1/24/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
24,1/25/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
25,1/26/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
26,1/27/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
27,1/28/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
28,1/29/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
29,1/30/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
30,1/31/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
31,2/1/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
32,2/2/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
33,2/3/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
34,2/4/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
35,2/5/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
36,2/6/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
37,2/7/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
38,2/8/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
39,2/9/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
40,2/10/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
41,2/11/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
42,2/12/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
43,2/13/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
44,2/14/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
45,2/15/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
46,2/16/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
47,2/17/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
48,2/18/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
49,2/19/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
50,2/20/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
